TIMESTAMP,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
2020-01-22,ASPINWALL,EQ,157.3,162.25,155.1,155.1,155.1,158.35,1825,287996.65,33,INE991I01015
2020-01-22,ASTEC,EQ,482.0,486.65,467.5,484.7,485.0,474.7,5217,2490311.55,366,INE563J01010
2020-01-22,ASTERDM,EQ,164.85,165.95,162.85,164.5,165.0,163.65,362453,59553757.9,6327,INE914M01019
2020-01-22,ASTRAL,EQ,1100.0,1105.95,1076.05,1088.0,1099.6,1094.3,71096,77020701.35,4886,INE006I01046
2020-01-22,ASTRAMICRO,EQ,86.4,88.45,85.15,87.95,87.55,86.55,63690,5534323.05,2277,INE386C01029
2020-01-22,ASTRAZEN,EQ,2578.2,2578.2,2522.0,2529.25,2525.05,2548.45,27591,70555333.3,1461,INE203A01020
2020-01-22,ASTRON,EQ,38.55,38.95,38.4,38.75,38.7,38.55,100918,3896881.35,366,INE646X01014
2020-01-22,ATFL,EQ,710.0,718.95,696.05,712.35,710.0,706.95,7082,5043292.9,798,INE209A01019
2020-01-22,ATLANTA,EQ,6.45,6.45,5.95,6.2,6.25,6.25,12795,77430.8,103,INE285H01022
2020-01-22,ATLASCYCLE,BE,52.5,53.0,51.05,52.35,52.35,52.25,1602,83832.65,21,INE446A01025
2020-01-22,ATUL,EQ,4340.0,4374.75,4294.0,4321.05,4329.0,4362.2,4933,21363489.35,1676,INE100A01010
2020-01-22,ATULAUTO,EQ,285.9,290.0,275.6,280.85,283.0,280.9,181041,51317010.85,6530,INE951D01028
2020-01-22,AUBANK,EQ,892.15,899.4,882.25,887.05,885.0,888.35,255835,227163538.2,12494,INE949L01017
2020-01-22,AURIONPRO,EQ,60.4,60.4,58.2,59.15,59.5,60.15,7880,464704.0,154,INE132H01018
2020-01-22,AUROPHARMA,EQ,498.0,510.9,490.8,497.95,498.0,493.2,8257195,4152278736.25,118229,INE406A01037
2020-01-22,AUSOMENT,BE,35.55,38.85,35.55,35.9,35.65,37.05,78,2794.7,3,INE218C01016
2020-01-22,AUTOAXLES,EQ,860.0,860.0,831.0,835.85,833.0,849.65,4515,3805499.0,495,INE449A01011
2020-01-22,AUTOIND,BE,26.0,26.0,25.0,26.0,26.0,25.8,3690,95510.9,34,INE718H01014
2020-01-22,AUTOLITIND,EQ,25.55,26.3,24.3,24.6,24.95,25.5,10096,253694.4,317,INE448A01013
2020-01-22,AVADHSUGAR,EQ,326.0,332.65,322.55,329.5,329.0,323.55,161904,53182899.75,4466,INE349W01017
2020-01-22,AVANTIFEED,EQ,705.0,719.0,691.0,695.65,696.5,699.15,855592,600673512.75,30149,INE871C01038
2020-01-22,AVG,SM,60.0,60.0,60.0,60.0,60.0,60.0,1200,72000.0,1,INE680Z01018
2020-01-22,AVTNPL,EQ,34.0,34.3,33.55,34.05,34.3,34.0,63700,2163144.2,503,INE488D01021
2020-01-22,AXISBANK,EQ,717.0,722.75,706.6,712.6,709.3,717.6,13321307,9489538485.7,164845,INE238A01034
2020-01-22,AXISCADES,EQ,61.35,64.5,60.5,62.4,61.5,61.8,463926,29160217.5,4415,INE555B01013
2020-01-22,AXISGOLD,EQ,3472.35,3515.0,3472.35,3512.6,3510.05,3492.95,261,913004.85,64,INF846K01347
2020-01-22,AXISNIFTY,EQ,1254.72,1263.27,1243.08,1249.37,1252.52,1260.0,88,110123.47,16,INF846K01ZL0
2020-01-22,AYMSYNTEX,EQ,33.9,33.95,30.65,32.05,32.4,32.95,12392,392136.9,154,INE193B01039
2020-01-22,BAGFILMS,BE,1.95,1.95,1.85,1.85,1.9,1.9,32946,62637.3,70,INE116D01028
2020-01-22,BAJAJ-AUTO,EQ,3105.0,3110.0,3070.1,3076.4,3074.85,3097.05,269339,830302989.6,18843,INE917I01010
2020-01-22,BAJAJCON,EQ,233.8,238.75,231.5,232.4,232.85,232.55,91233,21404435.55,2966,INE933K01021
2020-01-22,BAJAJELEC,EQ,390.1,393.0,366.55,383.8,383.0,388.05,242498,91759954.7,6254,INE193E01025
2020-01-22,BAJAJFINSV,EQ,9590.0,9600.0,9495.0,9547.5,9545.0,9534.3,139525,1333120746.2,12824,INE918I01018
2020-01-22,BAJAJHIND,EQ,6.85,6.95,6.7,6.75,6.75,6.85,1639638,11150634.8,1508,INE306A01021
2020-01-22,BAJAJHLDNG,EQ,3375.0,3389.95,3337.3,3353.2,3354.0,3370.25,25284,85189429.6,4030,INE118A01012
2020-01-22,BAJFINANCE,EQ,4186.0,4186.5,4123.35,4142.2,4143.0,4138.6,797901,3312372101.6,42630,INE296A01024
2020-01-22,BALAJITELE,EQ,53.0,53.0,51.8,51.95,51.95,52.5,23219,1213218.9,174,INE794B01026
2020-01-22,BALAMINES,EQ,475.95,489.2,455.1,459.3,461.0,470.05,76882,35958501.4,3752,INE050E01027
2020-01-22,BALAXI,EQ,71.95,71.95,68.3,70.85,70.0,70.4,244,17164.2,22,INE618N01014
2020-01-22,BALKRISHNA,BE,18.5,18.5,18.2,18.25,18.25,18.15,257,4693.45,13,INE875R01011
2020-01-22,BALKRISIND,EQ,1090.95,1102.0,1080.1,1098.6,1100.0,1089.95,507182,553480651.4,12566,INE787D01026
2020-01-22,BALLARPUR,BE,0.55,0.55,0.45,0.5,0.5,0.5,577064,286560.6,151,INE294A01037
2020-01-22,BALMLAWRIE,EQ,124.65,125.65,123.0,124.1,124.0,124.35,57928,7211205.95,1526,INE164A01016
2020-01-22,BALPHARMA,EQ,47.65,47.65,44.3,44.75,44.45,45.4,11246,507212.6,215,INE083D01012
2020-01-22,BALRAMCHIN,EQ,185.0,186.4,183.15,184.75,184.1,183.5,548056,101275747.0,9444,INE119A01028
2020-01-22,BANARBEADS,EQ,34.45,36.7,34.45,36.0,36.5,35.6,1393,50078.95,29,INE655B01011
2020-01-22,BANARISUG,EQ,1458.7,1472.0,1440.0,1440.1,1440.0,1444.05,462,670181.05,166,INE459A01010
2020-01-22,BANCOINDIA,EQ,107.05,109.05,105.1,105.95,106.05,107.0,34567,3705040.25,847,INE213C01025
2020-01-22,BANDHANBNK,EQ,479.8,487.5,473.5,475.5,474.6,476.75,2611708,1256797173.65,58468,INE545U01014
2020-01-22,BANG,EQ,23.9,25.5,23.35,23.75,23.9,23.3,6011,144370.25,290,INE863I01016
2020-01-22,BANKBARODA,EQ,95.5,95.75,93.5,94.3,94.4,94.75,16534303,1560412668.55,39152,INE028A01039
2020-01-22,BANKBEES,EQ,315.05,318.87,313.17,313.85,314.0,316.42,78043,24540815.7,2924,INF204KB15I9
2020-01-22,BANKINDIA,EQ,67.6,67.8,66.7,67.45,67.4,67.35,1081492,72717668.35,5055,INE084A01016
2020-01-22,BANSWRAS,BE,115.05,121.0,115.0,117.65,117.0,119.75,3492,407733.15,49,INE629D01012
2020-01-22,BARTRONICS,BE,1.35,1.35,1.25,1.25,1.25,1.3,3237,4054.35,10,INE855F01034
2020-01-22,BASF,EQ,1025.0,1029.0,1006.0,1013.1,1012.0,1011.3,46316,47299635.35,4237,INE373A01013
2020-01-22,BASML,EQ,137.5,143.0,135.0,142.5,142.25,137.7,5318,750158.8,42,INE186H01014
2020-01-22,BATAINDIA,EQ,1782.0,1791.95,1765.5,1775.2,1773.85,1788.35,305625,542937639.25,19615,INE176A01028
2020-01-22,BAYERCROP,EQ,4202.9,4207.95,4080.0,4102.35,4088.0,4174.5,9829,40634827.35,1451,INE462A01022
2020-01-22,BBL,EQ,861.6,870.0,846.05,849.45,848.0,860.15,3729,3183076.9,464,INE464A01028
